company_id,company_name,scope,je_count,jel_count,sum_debit,sum_credit,difference_dr_minus_cr
597a5292-14c8-4cd8-96bd-c61b5a0d8c92,DIN BRIDAL,nonvoid,645,1471,84551666.88,84565286.88,-13620.00
30bd8592-3384-4f34-899a-f3907e336485,DIN CHINA,nonvoid,585,1375,423882223.63,423882223.63,0.00
e08a04af-22a8-4869-9b4d-da31fce13158,DIN COLLECTION,nonvoid,5049,10098,872788218.57,872788218.57,0.00
2ab65903-62a3-4bcf-bced-076b681e9b74,DIN COUTURE,nonvoid,79,161,49747104.00,49747104.00,0.00
597a5292-14c8-4cd8-96bd-c61b5a0d8c92,DIN BRIDAL,all_incl_void,681,1554,86477989.88,86513909.88,-35920.00
30bd8592-3384-4f34-899a-f3907e336485,DIN CHINA,all_incl_void,714,1632,551254514.63,551254324.63,190.00
e08a04af-22a8-4869-9b4d-da31fce13158,DIN COLLECTION,all_incl_void,5062,10124,875502523.57,875502523.57,0.00
2ab65903-62a3-4bcf-bced-076b681e9b74,DIN COUTURE,all_incl_void,79,161,49747104.00,49747104.00,0.00
